"036","Австралия",0
"040","Австрия",0
"031","Азербайджан",0
"248","Аландские острова",0
"008","Албания",0
"012","Алжир",0
"016","Американское Самоа",0
"660","Ангилья",0
"024","Ангола",0
"020","Андорра",0
"010","Антарктика",0
"028","Антигуа и Барбуда",0
"032","Аргентина",0
"051","Армения",0
"533","Аруба",0
"004","Афганистан",0
"044","Багамские Острова",0
"050","Бангладеш",0
"052","Барбадос",0
"048","Бахрейн",0
"084","Белиз",0
"112","Белоруссия",0
"056","Бельгия",0
"204","Бенин",0
"060","Бермудские Острова",0
"100","Болгария",0
"068","Боливия",0
"535","Бонэйр, Синт-Эстатиус и Саба",0
"070","Босния и Герцеговина",0
"072","Ботсвана",0
"076","Бразилия",0
"086","Британская территория в Индийском океане",0
"092","Британские Виргинские острова",0
"096","Бруней",0
"854","Буркина-Фасо",0
"108","Бурунди",0
"064","Бутан",0
"548","Вануату",0
"336","Ватикан",0
"826","Великобритания",0
"348","Венгрия",0
"862","Венесуэла",0
"850","Виргинские Острова",0
"581","Внешние малые острова США",0
"626","Восточный Тимор",0
"266","Габон",0
"328","Гайана",0
"270","Гамбия",0
"288","Гана",0
"312","Гваделупа",0
"320","Гватемала",0
"324","Гвинея",0
"624","Гвинея-Бисау",0
"276","Германия",0
"831","Гернси",0
"292","Гибралтар",0
"340","Гондурас",0
"344","Гонконг",0
"308","Гренада",0
"304","Гренландия",0
"300","Греция",0
"268","Грузия",0
"316","Гуам",0
"208","Дания",0
"180","Демократическая Республика Конго",0
"832","Джерси",0
"262","Джибути",0
"212","Доминика",0
"214","Доминиканская Республика",0
"818","Египет",0
"894","Замбия",0
"732","Западная Сахара",0
"716","Зимбабве",0
"376","Израиль",0
"356","Индия",0
"360","Индонезия",0
"400","Иордания",0
"368","Ирак",0
"364","Иран",0
"372","Ирландия",0
"352","Исландия",0
"724","Испания",0
"380","Италия",0
"887","Йемен",0
"132","Кабо-Верде",0
"398","Казахстан",0
"136","Каймановы острова",0
"116","Камбоджа",0
"120","Камерун",0
"124","Канада",0
"634","Катар",0
"404","Кения",0
"196","Кипр",0
"417","Киргизия",0
"296","Кирибати",0
"156","Китайская Народная Республика",0
"408","КНДР",0
"166","Кокосовые острова",0
"170","Колумбия",0
"174","Коморы",0
"188","Коста-Рика",0
"384","Кот-д’Ивуар",0
"192","Куба",0
"414","Кувейт",0
"531","Кюрасао",0
"418","Лаос",0
"428","Латвия",0
"426","Лесото",0
"430","Либерия",0
"422","Ливан",0
"434","Ливия",0
"440","Литва",0
"438","Лихтенштейн",0
"442","Люксембург",0
"480","Маврикий",0
"478","Мавритания",0
"450","Мадагаскар",0
"175","Майотта",0
"446","Макао",0
"454","Малави",0
"458","Малайзия",0
"466","Мали",0
"462","Мальдивы",0
"470","Мальта",0
"504","Марокко",0
"474","Мартиника",0
"584","Маршалловы Острова",0
"484","Мексика",0
"583","Микронезия",0
"508","Мозамбик",0
"498","Молдавия",0
"492","Монако",0
"496","Монголия",0
"500","Монтсеррат",0
"104","Мьянма",0
"516","Намибия",0
"520","Науру",0
"524","Непал",0
"562","Нигер",0
"566","Нигерия",0
"528","Нидерланды",0
"558","Никарагуа",0
"570","Ниуэ",0
"554","Новая Зеландия",0
"540","Новая Каледония",0
"578","Норвегия",0
"574","Норфолк",0
"784","Объединённые Арабские Эмираты",0
"512","Оман",0
"074","Остров Буве",0
"833","Остров Мэн",0
"162","Остров Рождества",0
"334","Остров Херд и острова Макдональд",0
"184","Острова Кука",0
"612","Острова Питкэрн",0
"654","Острова Святой Елены, Вознесения и Тристан-да-Кунья",0
"586","Пакистан",0
"585","Палау",0
"275","Палестина",0
"591","Панама",0
"598","Папуа — Новая Гвинея",0
"600","Парагвай",0
"604","Перу",0
"616","Польша",0
"620","Португалия",0
"630","Пуэрто-Рико",0
"332","Республика Гаити",0
"178","Республика Конго",0
"410","Республика Корея",0
"807","Республика Македония",0
"638","Реюньон",0
"643","Российская Федерация",99
"646","Руанда",0
"642","Румыния",0
"222","Сальвадор",0
"882","Самоа",0
"674","Сан-Марино",0
"678","Сан-Томе и Принсипи",0
"682","Саудовская Аравия",0
"748","Свазиленд",0
"580","Северные Марианские острова",0
"690","Сейшельские Острова",0
"652","Сен-Бартелеми",0
"663","Сен-Мартен (Франция)",0
"666","Сен-Пьер и Микелон",0
"686","Сенегал",0
"670","Сент-Винсент и Гренадины",0
"659","Сент-Китс и Невис",0
"662","Сент-Люсия",0
"688","Сербия",0
"702","Сингапур",0
"534","Синт-Мартен",0
"760","Сирия",0
"703","Словакия",0
"705","Словения",0
"840","Соединённые Штаты Америки",0
"090","Соломоновы Острова",0
"706","Сомали",0
"729","Судан",0
"740","Суринам",0
"694","Сьерра-Леоне",0
"762","Таджикистан",0
"764","Таиланд",0
"834","Танзания",0
"796","Теркс и Кайкос",0
"768","Того",0
"772","Токелау",0
"776","Тонга",0
"780","Тринидад и Тобаго",0
"798","Тувалу",0
"788","Тунис",0
"795","Туркмения",0
"792","Турция",0
"800","Уганда",0
"860","Узбекистан",0
"804","Украина",0
"876","Уоллис и Футуна",0
"858","Уругвай",0
"234","Фарерские острова",0
"242","Фиджи",0
"608","Филиппины",0
"246","Финляндия",0
"238","Фолклендские острова",0
"250","Франция",0
"254","Французская Гвиана",0
"258","Французская Полинезия",0
"260","Французские Южные и Антарктические территории",0
"191","Хорватия",0
"140","Центральноафриканская Республика",0
"148","Чад",0
"499","Черногория",0
"203","Чехия",0
"152","Чили",0
"756","Швейцария",0
"752","Швеция",0
"744","Шпицберген и Ян-Майен",0
"144","Шри-Ланка",0
"218","Эквадор",0
"226","Экваториальная Гвинея",0
"232","Эритрея",0
"233","Эстония",0
"231","Эфиопия",0
"239","Южная Георгия и Южные Сандвичевы острова",0
"710","Южно-Африканская Республика",0
"728","Южный Судан",0
"388","Ямайка",0
"392","Япония",0